"Selected(x)","Parent","Name","ObjectType","Template","AttributeValue"
"x","WASTEWATER\EST FLOW\BUCKMAN\QUEENSGATE CIR - 7303","CMMS Asset ID","Attribute","","LS-004357"
"x","WASTEWATER\EST FLOW\BUCKMAN\QUEENSGATE CIR - 7303","PI Tag","Attribute","","NORTH:QUE7303"
"x","WASTEWATER\EST FLOW\BUCKMAN\QUEENSGATE CIR - 7303","Wetwell Area","Attribute","","50.27"
"x","WASTEWATER\EST FLOW\BUCKMAN\QUEENSGATE CIR - 7303","cte","Element","_cte_leadsp",""
"x","WASTEWATER\EST FLOW\BUCKMAN\QUEENSGATE CIR - 7303","hrt","Element","_hrt",""
"x","WASTEWATER\EST FLOW\CEDAR BAY","GREATFORD WAY - 7811","Element","_Liftstation",""
"x","WASTEWATER\EST FLOW\CEDAR BAY\GREATFORD WAY - 7811","CMMS Asset ID","Attribute","","LS-004360"
"x","WASTEWATER\EST FLOW\CEDAR BAY\GREATFORD WAY - 7811","PI Tag","Attribute","","NORTH:GRE7811"
"x","WASTEWATER\EST FLOW\CEDAR BAY\GREATFORD WAY - 7811","Wetwell Area","Attribute","","50.27"
"x","WASTEWATER\EST FLOW\CEDAR BAY\GREATFORD WAY - 7811","cte","Element","_cte_leadsp",""
"x","WASTEWATER\EST FLOW\CEDAR BAY\GREATFORD WAY - 7811","hrt","Element","_hrt",""
"x","WASTEWATER\EST FLOW\CEDAR BAY","ROBERT MASTERS BLVD - 11847","Element","_Liftstation",""
"x","WASTEWATER\EST FLOW\CEDAR BAY\ROBERT MASTERS BLVD - 11847","CMMS Asset ID","Attribute","","LS-004361"
"x","WASTEWATER\EST FLOW\CEDAR BAY\ROBERT MASTERS BLVD - 11847","PI Tag","Attribute","","NORTH:ROB11847"
"x","WASTEWATER\EST FLOW\CEDAR BAY\ROBERT MASTERS BLVD - 11847","Wetwell Area","Attribute","","50.27"
"x","WASTEWATER\EST FLOW\CEDAR BAY\ROBERT MASTERS BLVD - 11847","cte","Element","_cte_leadsp",""
"x","WASTEWATER\EST FLOW\CEDAR BAY\ROBERT MASTERS BLVD - 11847","hrt","Element","_hrt",""
"x","WASTEWATER\EST FLOW\CEDAR BAY","HEMLOCK ST - 4351","Element","_Liftstation",""
