"CMMS_ASSET_ID","STREET_NAME","STREET_NUMBER","PI_TAG"
"LS-000980","GRAYSON CT","10712","WWL:WEST:GRA10712"
"LS-001800","POWELL PL","1888","WWL:WEST:POW1888"
"LS-001385","MALLORY ST","1896","WWL:WEST:MAL1896"
"LS-001063","HICKORY CREEK BLVD","12620","WWL:EAST:HIC12620"
"LS-000885","FLINTLOCK CT","1661","WWL:EAST:FLI1661"
"LS-001607","NORWOOD AVE","6947","WWL:NORTH:NOR6947"
"LS-001444","MERCER CIR S","2200","WWL:SOUTH:MER2200"
"LS-001165","JOSE CIR W","8241","WWL:SOUTH:JOS8241"
"LS-000956","GLEN KERNAN PKWY","12858","WWL:EAST:GLE12858"
"LS-000560","CHELSEA HARBOR DR W","4245","WWL:EAST:CHE4245"
"LS-000542","CENTURION PKWY","7621","WWL:SOUTH:CEN7621"
"LS-002291","TOUCHTON RD E","4740","WWL:SOUTH:TOU4740"
"LS-001787","POINT MEADOWS DR","8032","WWL:SOUTH:POI8032"
"LS-000258","BAYMEADOWS RD E","7823","WWL:SOUTH:BAY7823"
"LS-002243","SUTTON PARK DR N","13825","WWL:EAST:SUT13825"
"LS-002154","ST AUGUSTINE RD","11220","WWL:SOUTH:STA11220"
"LS-000892","FLORIDA MINING BLVD E","9820","WWL:SOUTH:FLO9820"
"LS-000703","DEERFOOT LN N","10353","WWL:SOUTH:DEE10353"
"LS-001630","OLD KINGS RD S","8884","WWL:SOUTH:OLD8884"
"LS-000086","ALEXIS FOREST DR","11551","WWL:SOUTH:ALE11551"
"LS-000564","CHESTER LAKE RD N","8233","WWL:SOUTH:CHE8233"
"LS-001012","HAMPTON LANDING DR S","10526","WWL:SOUTH:HAM10526"
"LS-002258","TAYLOR CREEK DR","5006","WWL:SOUTH:TAY5006"
"LS-000075","AGAVE RD","10150","WWL:EAST:AGA10150"
"LS-000953","GLEN GARDNER DR","2366","WWL:EAST:GLE2366"
"LS-002226","SUMMER TREE RD E","2471","WWL:EAST:SUM2471"
"LS-001464","MINDANAO DR S","11004","WWL:EAST:MIN11004"
"LS-001594","NORMANDY BLVD","9800","WWL:WEST:NOR9800"
"LS-001593","NORMANDY BLVD","9330","WWL:WEST:NOR9330"
"LS-000717","DERRICKSON DR","8998","WWL:WEST:DER8998"
"LS-000857","FALKLAND RD E","1531","WWL:WEST:FAL1531"
"LS-001004","HAMLET GLEN DR","10374","WWL:WEST:HAM10374"
"LS-001454","MERRIMAC AVE","4401","WWL:WEST:MER4401"
"LS-002244","SWAMP FOX RD","5940","WWL:WEST:SWA5940"
"LS-001655","ORTEGA ISLAND DR","4659","WWL:WEST:ORT4659"
